Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,255.0,271.25,255.0,271.25,124.07258605957031,70700304
2022-06-28,268.75,275.0,261.25,271.25,124.07258605957031,105185243
2022-06-29,233.75,239.25,222.5,222.5,122.01612854003906,139126565
2022-06-30,221.5,221.75,211.25,211.5,115.98387145996094,66132303
2022-07-01,213.5,216.75,199.25,199.5,109.40322875976562,74497432
2022-07-04,201.25,207.25,198.0,206.25,113.10484313964844,51253530
2022-07-05,213.0,226.25,205.0,219.25,120.23387145996094,77993691
2022-07-06,216.0,224.25,214.0,214.5,117.62903594970703,57248814
2022-07-07,217.0,223.25,213.0,221.0,121.19355010986328,50181764
2022-07-08,230.75,236.75,230.25,231.75,127.08871459960938,69465264
2022-07-11,233.5,234.75,229.0,230.75,126.54032897949219,34001041
2022-07-12,222.75,224.0,210.0,215.25,118.04032897949219,57505202
2022-07-13,224.5,226.0,217.75,217.75,119.41129302978516,40093907
2022-07-14,219.0,227.25,218.75,226.5,124.20967864990234,40234027
2022-07-15,226.5,227.0,222.75,223.25,122.42742156982422,29728232
2022-07-18,224.75,228.0,222.75,223.25,122.42742156982422,19967510
2022-07-19,225.25,233.0,225.25,229.0,125.58065032958984,44361794
2022-07-20,232.5,233.0,223.25,224.25,122.9758071899414,36883745
2022-07-21,226.25,232.5,226.25,232.5,127.5,37321696
2022-07-22,234.75,239.25,231.75,235.5,129.14515686035156,36847176
2022-07-25,234.5,234.5,227.0,230.25,126.26612854003906,30048212
2022-07-26,228.75,233.0,226.25,229.25,125.71774291992188,20682157
2022-07-27,230.5,235.5,230.25,235.0,128.8709716796875,24470310
2022-07-28,236.5,237.0,229.25,230.0,126.12903594970703,27870665
2022-07-29,234.75,242.0,234.5,238.75,130.92742919921875,49026750
2022-08-01,239.75,242.0,236.25,241.5,132.43548583984375,23704860
2022-08-02,237.5,237.5,232.5,233.25,127.91129302978516,36479588
2022-08-03,236.0,236.75,231.75,233.0,127.77420043945312,22490750
2022-08-04,233.0,235.25,230.0,235.0,128.8709716796875,23928064
2022-08-05,240.5,248.25,239.75,248.0,136.0,49396269
2022-08-08,245.5,255.0,242.5,252.5,138.46774291992188,44500183
2022-08-09,252.5,265.0,250.0,262.5,143.9516143798828,51986710
2022-08-10,260.0,265.0,256.25,257.5,141.20968627929688,38486643
2022-08-11,262.5,266.25,256.25,257.5,141.20968627929688,37829041
2022-08-12,258.75,261.25,256.25,260.0,142.5806427001953,19838119
2022-08-15,256.25,257.5,248.75,248.75,136.4113006591797,47379060
2022-08-16,247.5,250.0,242.75,242.75,133.1209716796875,31626611
2022-08-17,245.0,250.0,245.0,245.75,134.76612854003906,30623702
2022-08-18,244.75,248.5,243.75,244.5,134.0806427001953,17526966
2022-08-19,246.75,247.25,244.0,245.0,134.35484313964844,14449179
2022-08-22,240.75,242.0,236.0,240.0,131.61289978027344,20899200
2022-08-23,236.5,240.25,236.25,237.75,130.3790283203125,15534730
2022-08-24,237.75,239.25,230.25,230.25,126.26612854003906,26104063
2022-08-25,232.75,236.0,231.5,233.0,127.77420043945312,15988163
2022-08-26,235.75,236.75,233.75,233.75,128.18548583984375,13116780
2022-08-29,220.0,222.75,216.25,219.75,120.50806427001953,34360094
2022-08-30,220.25,222.0,219.0,220.0,120.6451644897461,13429377
2022-08-31,218.0,222.5,213.75,220.75,121.05645751953125,30983478
2022-09-01,218.0,219.5,215.5,215.5,118.17742156982422,20719422
2022-09-02,215.0,215.0,199.25,199.25,109.26612854003906,47026495
2022-09-05,197.0,204.0,196.25,200.0,109.67742156982422,27616966
2022-09-06,203.75,205.75,200.5,202.0,110.7741928100586,10179463
2022-09-07,202.0,202.0,202.0,202.0,110.7741928100586,0
2022-09-08,202.0,202.0,202.0,202.0,110.7741928100586,0
2022-09-12,202.0,202.0,202.0,202.0,110.7741928100586,0
2022-09-13,202.0,202.0,202.0,202.0,110.7741928100586,0
2022-09-14,202.0,202.0,202.0,202.0,110.7741928100586,0
2022-09-15,202.0,202.0,202.0,202.0,110.7741928100586,0
2022-09-16,202.0,202.0,202.0,202.0,110.7741928100586,0
2022-09-19,185.5,186.0,169.0,169.0,92.67742156982422,67824165
2022-09-20,171.5,173.0,167.5,172.5,94.5967788696289,44902449
2022-09-21,172.0,173.5,166.5,166.5,91.30645751953125,60601012
2022-09-22,163.5,164.5,154.0,156.0,85.54838562011719,75967693
2022-09-23,155.5,162.0,155.5,158.0,86.6451644897461,53980374
2022-09-26,154.0,155.0,145.5,145.5,79.79032135009766,80056051
2022-09-27,149.5,155.0,147.5,153.5,84.17742156982422,58332736
2022-09-28,152.0,152.5,143.5,144.0,78.96774291992188,61723199
2022-09-29,148.0,151.5,144.0,144.0,78.96774291992188,48119170
2022-09-30,139.0,147.0,137.5,146.0,80.06452178955078,55165166
2022-10-03,146.0,154.0,145.5,149.5,81.98387145996094,68369520
2022-10-04,155.0,156.0,149.0,150.5,82.53225708007812,50247996
2022-10-05,152.0,158.5,151.5,155.5,85.2741928100586,55155503
2022-10-06,154.5,156.0,150.0,155.5,85.2741928100586,47663784
2022-10-07,153.5,157.5,152.5,155.5,85.2741928100586,28527465
2022-10-11,153.5,158.0,153.0,156.0,85.54838562011719,43962542
2022-10-12,155.5,156.0,147.0,147.0,80.61290740966797,58550119
2022-10-13,149.0,150.0,143.5,144.5,79.24193572998047,34130624
2022-10-14,149.5,154.0,146.5,152.5,83.62903594970703,51922445
2022-10-17,149.0,149.0,137.5,140.0,76.7741928100586,79179260
2022-10-18,142.0,145.0,140.5,141.0,77.32258605957031,49153430
2022-10-19,142.5,146.5,141.5,144.0,78.96774291992188,46834621
2022-10-20,139.0,140.0,132.5,137.0,75.12903594970703,62619855
2022-10-21,136.0,138.5,135.5,135.5,74.30644989013672,33493109
2022-10-24,140.5,143.5,137.0,137.5,75.40322875976562,43133460
